lig1,lig2,Label,Label1,Label2,dir_1,dir_2,pred_delta_pIC50
alpha1A_epi,alpha1A_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,-0.0797319114208221
alpha1A_epi,alpha1A_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,0.8362807035446167
alpha1A_epi,alpha2A_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_norepi/norepinephrine.pkl,1.011742115020752
alpha1A_epi,beta1_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,-0.8165876269340515
alpha1A_epi,beta1_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,0.1296737343072891
alpha1A_epi,beta2_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,-0.6247363686561584
alpha1A_epi,beta3_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,0.3089382648468017
alpha1A_epi,alpha2A_epi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,-0.3927721977233886
alpha1A_epi,alpha2A_norepi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,0.9898504018783568
alpha1A_norepi,alpha1A_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,-0.843644380569458
alpha1A_norepi,alpha1A_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,-0.0797319114208221
alpha1A_norepi,alpha2A_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_norepi/norepinephrine.pkl,0.5402921438217163
alpha1A_norepi,beta1_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,-1.0040181875228882
alpha1A_norepi,beta1_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,-0.341657817363739
alpha1A_norepi,beta2_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,-0.9106818437576294
alpha1A_norepi,beta3_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,-0.3780091404914856
alpha1A_norepi,alpha2A_epi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,-0.7024324536323547
alpha1A_norepi,alpha2A_norepi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,0.5224477052688599
alpha2A_norepi,alpha1A_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,-1.09400737285614
